año,mes,tipo_acomodacion,provincia,pais_residencia,total_pernoctaciones,total_viajeros
2020,Diciembre,apartamentos,29 Málaga,,4.95,
2020,Enero,apartamentos,41 Sevilla,,2.22,
2020,Febrero,apartamentos,41 Sevilla,,2.35,
2020,Marzo,apartamentos,41 Sevilla,,3.46,
2020,Abril,apartamentos,41 Sevilla,,0.0,
2020,Mayo,apartamentos,41 Sevilla,,5.08,
2020,Junio,apartamentos,41 Sevilla,,3.98,
2020,Julio,apartamentos,41 Sevilla,,2.85,
2020,Agosto,apartamentos,41 Sevilla,,2.97,
2020,Septiembre,apartamentos,41 Sevilla,,2.67,
2020,Octubre,apartamentos,41 Sevilla,,3.39,
2020,Noviembre,apartamentos,41 Sevilla,,3.99,
2020,Diciembre,apartamentos,41 Sevilla,,3.02,
2020,Enero,apartamentos,46 Valencia/València,,3.13,
2020,Febrero,apartamentos,46 Valencia/València,,3.48,
2020,Marzo,apartamentos,46 Valencia/València,,3.66,
2020,Abril,apartamentos,46 Valencia/València,,0.0,
2020,Mayo,apartamentos,46 Valencia/València,,,
2020,Junio,apartamentos,46 Valencia/València,,4.87,
2020,Julio,apartamentos,46 Valencia/València,,6.84,
2020,Agosto,apartamentos,46 Valencia/València,,7.4,
2020,Septiembre,apartamentos,46 Valencia/València,,5.22,
2020,Octubre,apartamentos,46 Valencia/València,,4.67,
2020,Noviembre,apartamentos,46 Valencia/València,,7.89,
2020,Diciembre,apartamentos,46 Valencia/València,,3.98,
2021,Enero,apartamentos,"07 Balears, Illes",,7.86,
2021,Febrero,apartamentos,"07 Balears, Illes",,6.78,
