city,neighborhood,criterion,total_listings,current_meeting,current_pct,below_target,avg_below_score,fixable_listings,potential_score,avg_current_min_nights,avg_current_max_nights,rank_in_city
Barcelona,Sant Genís Dels Agudells,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,37
Barcelona,El Baix Guinardó,Rating ≥ 80,13,12,0.9230769230769231,1,60.0,0,0.41923076923076924,,,10
Barcelona,La Maternitat I Sant Ramon,Rating ≥ 80,29,26,0.896551724137931,3,75.33333333333333,2,0.39787356321839085,,,28
Barcelona,La Verneda I La Pau,Rating ≥ 80,10,8,0.8,2,75.0,2,0.4125000000000001,,,16
Barcelona,El Congrés I Els Indians,Rating ≥ 80,11,10,0.9090909090909091,1,70.0,0,0.38863636363636367,,,32
Barcelona,El Besòs I El Maresme,Rating ≥ 80,31,28,0.9032258064516129,3,68.33333333333333,1,0.40336021505376346,,,24
Barcelona,Montbau,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,37
Barcelona,Hostafrancs,Rating ≥ 80,43,38,0.8837209302325582,5,71.6,2,0.393093023255814,,,30
Barcelona,Navas,Rating ≥ 80,7,6,0.8571428571428571,1,73.0,0,0.3603571428571429,,,35
Barcelona,Sant Martí De Provençals,Rating ≥ 80,15,15,1.0,0,0.0,0,0.0,,,37
Barcelona,El Guinardó,Rating ≥ 80,18,15,0.8333333333333334,3,65.0,1,0.3930555555555556,,,31
Barcelona,La Teixonera,Rating ≥ 80,6,5,0.8333333333333334,1,60.0,0,0.38333333333333336,,,33
Barcelona,Verdun,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,37
Barcelona,El Turó De La Peira,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,37
Barcelona,La Guineueta,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,37
Barcelona,Porta,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,37
Barcelona,El Bon Pastor,Rating ≥ 80,4,3,0.75,1,65.0,0,0.3375,,,36
Barcelona,La Sagrera,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,37
Barcelona,Sant Andreu,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,37
Barcelona,Les Roquetes,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,37
Girona,Torroella De Fluvià,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,18
Girona,Capmany,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Castelló D'Empúries,Rating ≥ 80,87,78,0.896551724137931,9,61.44444444444444,0,0.4050095785440614,,,14
Girona,Begur,Rating ≥ 80,73,69,0.9452054794520548,4,60.75,0,0.4262071917808219,,,6
Girona,Tossa De Mar,Rating ≥ 80,53,51,0.9622641509433962,2,40.0,0,0.4849056603773585,,,1
Girona,Roses,Rating ≥ 80,150,140,0.9333333333333333,10,62.4,1,0.42,,,9
Girona,Palafrugell,Rating ≥ 80,77,74,0.961038961038961,3,62.333333333333336,0,0.4285822510822511,,,5
Girona,Girona,Rating ≥ 80,49,47,0.9591836734693877,2,67.5,1,0.42308673469387753,,,8
Girona,Cadaqués,Rating ≥ 80,34,33,0.9705882352941176,1,78.0,1,0.405,,,15
Girona,L'Escala,Rating ≥ 80,99,92,0.9292929292929293,7,48.57142857142857,0,0.4502886002886003,,,3
Girona,Palamós,Rating ≥ 80,31,31,1.0,0,0.0,0,0.0,,,18
Girona,Lloret De Mar,Rating ≥ 80,130,122,0.9384615384615385,8,63.375,3,0.42617788461538464,,,7
Girona,Torroella De Montgrí,Rating ≥ 80,67,62,0.9253731343283582,5,69.4,2,0.408589552238806,,,12
Girona,La Selva De Mar,Rating ≥ 80,3,2,0.6666666666666666,1,63.0,0,0.3091666666666667,,,17
Girona,Llançà,Rating ≥ 80,34,32,0.9411764705882353,2,40.0,0,0.4764705882352941,,,2
Girona,Sant Feliu De Guíxols,Rating ≥ 80,43,39,0.9069767441860465,4,61.75,0,0.40841569767441865,,,13
Girona,Blanes,Rating ≥ 80,40,39,0.975,1,75.0,1,0.41250000000000003,,,11
Girona,Albons,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Calonge,Rating ≥ 80,69,66,0.9565217391304348,3,68.33333333333333,1,0.41757246376811596,,,10
Girona,Ordis,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Castell-Platja D'Aro,Rating ≥ 80,94,90,0.9574468085106383,4,57.5,0,0.4392287234042554,,,4
Girona,Cornellà Del Terri,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Vilademuls,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Figueres,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,18
Girona,Pals,Rating ≥ 80,50,49,0.98,1,75.0,1,0.41250000000000003,,,11
Girona,Alp,Rating ≥ 80,6,6,1.0,0,0.0,0,0.0,,,18
Girona,Llers,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Vilafran,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Vidreres,Rating ≥ 80,14,14,1.0,0,0.0,0,0.0,,,18
Girona,Ribes De Freser,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Campelles,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,El Port De La Selva,Rating ≥ 80,12,11,0.9166666666666666,1,78.0,1,0.405,,,15
Girona,Santa Cristina D'Aro,Rating ≥ 80,19,19,1.0,0,0.0,0,0.0,,,18
Girona,Banyoles,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Cruïlles Monells I Sant Sadurní De L'Heura,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Olot,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Sant Pere Pescador,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,18
Girona,L'Armentera,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Ullà,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Fontanals De Cerdanya,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,18
Girona,Puigcerdà,Rating ≥ 80,12,10,0.8333333333333334,2,66.0,0,0.3683333333333334,,,16
Girona,Santa Pau,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Colera,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Sant Feliu De Pallerols,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Girona,Maçanet De La Selva,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,18
Valencia,El Pilar,Rating ≥ 80,14,13,0.9285714285714286,1,75.0,1,0.41250000000000003,,,6
Valencia,En Corts,Rating ≥ 80,18,18,1.0,0,0.0,0,0.0,,,13
Valencia,Russafa,Rating ≥ 80,43,41,0.9534883720930233,2,69.5,1,0.4169476744186047,,,5
Valencia,El Carme,Rating ≥ 80,15,15,1.0,0,0.0,0,0.0,,,13
Valencia,La Seu,Rating ≥ 80,16,15,0.9375,1,60.0,0,0.425,,,3
Valencia,Arrancapins,Rating ≥ 80,6,5,0.8333333333333334,1,40.0,0,0.43333333333333335,,,2
Valencia,La Roqueta,Rating ≥ 80,16,16,1.0,0,0.0,0,0.0,,,13
Valencia,Morvedre,Rating ≥ 80,10,10,1.0,0,0.0,0,0.0,,,13
Valencia,Penya-Roja,Rating ≥ 80,9,9,1.0,0,0.0,0,0.0,,,13
Valencia,La Carrasca,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,13
Valencia,La Gran Via,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,13
Valencia,Aiora,Rating ≥ 80,18,18,1.0,0,0.0,0,0.0,,,13
Valencia,Mestalla,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,13
Valencia,El Mercat,Rating ≥ 80,19,18,0.9473684210526315,1,79.0,1,0.4025,,,9
Valencia,La Malva-Rosa,Rating ≥ 80,27,26,0.9629629629629629,1,74.0,0,0.4001851851851852,,,10
Valencia,La Xerea,Rating ≥ 80,9,9,1.0,0,0.0,0,0.0,,,13
Valencia,Campanar,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,13
Valencia,Sant Francesc,Rating ≥ 80,27,26,0.9629629629629629,1,20.0,0,0.5351851851851852,,,1
Valencia,La Raiosa,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,13
Valencia,Mont-Olivet,Rating ≥ 80,12,12,1.0,0,0.0,0,0.0,,,13
Valencia,El Botanic,Rating ≥ 80,9,9,1.0,0,0.0,0,0.0,,,13
Valencia,Benimaclet,Rating ≥ 80,9,8,0.8888888888888888,1,60.0,0,0.40555555555555556,,,8
Valencia,Cabanyal-Canyamelar,Rating ≥ 80,52,52,1.0,0,0.0,0,0.0,,,13
Valencia,El Pla Del Remei,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,13
Valencia,Marxalenes,Rating ≥ 80,8,8,1.0,0,0.0,0,0.0,,,13
