Provincias;País de residencia;Meses;Total
08 Barcelona;Total;Abril;0
08 Barcelona;Total;Mayo;..
08 Barcelona;Total;Junio;23.007
08 Barcelona;Total;Julio;45.509
08 Barcelona;Total;Agosto;64.003
08 Barcelona;Total;Septiembre;99.941
08 Barcelona;Total;Octubre;100.365
08 Barcelona;Total;Noviembre;91.138
08 Barcelona;Total;Diciembre;89.421
08 Barcelona;Españoles;Enero;66.348
08 Barcelona;Españoles;Febrero;63.954
08 Barcelona;Españoles;Marzo;55.406
08 Barcelona;Españoles;Abril;0
08 Barcelona;Españoles;Mayo;1.459
08 Barcelona;Españoles;Junio;17.969
08 Barcelona;Españoles;Julio;27.055
08 Barcelona;Españoles;Agosto;41.732
08 Barcelona;Españoles;Septiembre;69.919
08 Barcelona;Españoles;Octubre;71.031
08 Barcelona;Españoles;Noviembre;63.434
08 Barcelona;Españoles;Diciembre;64.674
08 Barcelona;Extranjeros;Enero;63.510
08 Barcelona;Extranjeros;Febrero;65.173
08 Barcelona;Extranjeros;Marzo;31.695
08 Barcelona;Extranjeros;Abril;0
08 Barcelona;Extranjeros;Mayo;..
08 Barcelona;Extranjeros;Junio;5.038
08 Barcelona;Extranjeros;Julio;18.454
08 Barcelona;Extranjeros;Agosto;22.271
08 Barcelona;Extranjeros;Septiembre;30.022
08 Barcelona;Extranjeros;Octubre;29.334
08 Barcelona;Extranjeros;Noviembre;27.704
08 Barcelona;Extranjeros;Diciembre;24.747
08 Barcelona;Unión Europea27 (sin España);Enero;26.915
08 Barcelona;Unión Europea27 (sin España);Febrero;35.053
08 Barcelona;Unión Europea27 (sin España);Marzo;17.473
08 Barcelona;Unión Europea27 (sin España);Abril;0
08 Barcelona;Unión Europea27 (sin España);Mayo;..
08 Barcelona;Unión Europea27 (sin España);Junio;..
08 Barcelona;Unión Europea27 (sin España);Julio;11.703
08 Barcelona;Unión Europea27 (sin España);Agosto;16.369
08 Barcelona;Unión Europea27 (sin España);Septiembre;14.171
08 Barcelona;Unión Europea27 (sin España);Octubre;14.709
08 Barcelona;Unión Europea27 (sin España);Noviembre;13.369
08 Barcelona;Unión Europea27 (sin España);Diciembre;12.084
08 Barcelona;Alemania;Enero;2.264
08 Barcelona;Alemania;Febrero;4.563
08 Barcelona;Alemania;Marzo;2.071
08 Barcelona;Alemania;Abril;0
08 Barcelona;Alemania;Mayo;..
08 Barcelona;Alemania;Junio;..
08 Barcelona;Alemania;Julio;1.385
08 Barcelona;Alemania;Agosto;537
08 Barcelona;Alemania;Septiembre;680
08 Barcelona;Alemania;Octubre;515
08 Barcelona;Alemania;Noviembre;324
08 Barcelona;Alemania;Diciembre;266
08 Barcelona;Austria;Enero;431
08 Barcelona;Austria;Febrero;614
08 Barcelona;Austria;Marzo;243
08 Barcelona;Austria;Abril;0
08 Barcelona;Austria;Mayo;..
08 Barcelona;Austria;Junio;..
08 Barcelona;Austria;Julio;107
08 Barcelona;Austria;Agosto;..
08 Barcelona;Austria;Septiembre;..
08 Barcelona;Austria;Octubre;..
08 Barcelona;Austria;Noviembre;..
08 Barcelona;Austria;Diciembre;58
08 Barcelona;Bélgica;Enero;1.010
08 Barcelona;Bélgica;Febrero;603
08 Barcelona;Bélgica;Marzo;527
08 Barcelona;Bélgica;Abril;0
08 Barcelona;Bélgica;Mayo;..
08 Barcelona;Bélgica;Junio;..
