Provincias;País de residencia;Meses;Total
Barcelona;Grecia;Noviembre;97
Barcelona;Grecia;Diciembre;75
Barcelona;Irlanda;Enero;124
Barcelona;Irlanda;Febrero;236
Barcelona;Irlanda;Marzo;305
Barcelona;Irlanda;Abril;173
Barcelona;Irlanda;Mayo;305
Barcelona;Irlanda;Junio;352
Barcelona;Irlanda;Julio;332
Barcelona;Irlanda;Agosto;318
Barcelona;Irlanda;Septiembre;350
Barcelona;Irlanda;Octubre;187
Barcelona;Irlanda;Noviembre;336
Barcelona;Irlanda;Diciembre;147
Barcelona;Italia;Enero;1.383
Barcelona;Italia;Febrero;1.005
Barcelona;Italia;Marzo;1.998
Barcelona;Italia;Abril;1.655
Barcelona;Italia;Mayo;1.547
Barcelona;Italia;Junio;2.492
Barcelona;Italia;Julio;2.021
Barcelona;Italia;Agosto;3.067
Barcelona;Italia;Septiembre;2.052
Barcelona;Italia;Octubre;1.721
Barcelona;Italia;Noviembre;1.180
Barcelona;Italia;Diciembre;1.462
Barcelona;Luxemburgo;Enero;..
Barcelona;Luxemburgo;Febrero;..
Barcelona;Luxemburgo;Marzo;..
Barcelona;Luxemburgo;Abril;33
Barcelona;Luxemburgo;Mayo;14
Barcelona;Luxemburgo;Junio;23
Barcelona;Luxemburgo;Julio;24
Barcelona;Luxemburgo;Agosto;14
Barcelona;Luxemburgo;Septiembre;98
Barcelona;Luxemburgo;Octubre;34
Barcelona;Luxemburgo;Noviembre;34
Barcelona;Luxemburgo;Diciembre;20
Barcelona;Países Bajos;Enero;188
Barcelona;Países Bajos;Febrero;438
Barcelona;Países Bajos;Marzo;402
Barcelona;Países Bajos;Abril;874
Barcelona;Países Bajos;Mayo;978
Barcelona;Países Bajos;Junio;729
Barcelona;Países Bajos;Julio;1.440
Barcelona;Países Bajos;Agosto;1.468
Barcelona;Países Bajos;Septiembre;926
Barcelona;Países Bajos;Octubre;1.191
Barcelona;Países Bajos;Noviembre;371
Barcelona;Países Bajos;Diciembre;245
Barcelona;Polonia;Enero;251
Barcelona;Polonia;Febrero;347
Barcelona;Polonia;Marzo;114
Barcelona;Polonia;Abril;277
Barcelona;Polonia;Mayo;339
Barcelona;Polonia;Junio;278
Barcelona;Polonia;Julio;224
Barcelona;Polonia;Agosto;230
Barcelona;Polonia;Septiembre;257
Barcelona;Polonia;Octubre;556
Barcelona;Polonia;Noviembre;305
Barcelona;Polonia;Diciembre;144
Barcelona;Portugal;Enero;179
Barcelona;Portugal;Febrero;348
Barcelona;Portugal;Marzo;284
Barcelona;Portugal;Abril;332
Barcelona;Portugal;Mayo;320
Barcelona;Portugal;Junio;352
Barcelona;Portugal;Julio;417
Barcelona;Portugal;Agosto;357
Barcelona;Portugal;Septiembre;349
Barcelona;Portugal;Octubre;539
Barcelona;Portugal;Noviembre;229
Barcelona;Portugal;Diciembre;266
Barcelona;Reino Unido;Enero;635
Barcelona;Reino Unido;Febrero;1.272
Barcelona;Reino Unido;Marzo;1.898
Barcelona;Reino Unido;Abril;2.998
Barcelona;Reino Unido;Mayo;2.447
Barcelona;Reino Unido;Junio;2.982
Barcelona;Reino Unido;Julio;2.632
Barcelona;Reino Unido;Agosto;3.332
Barcelona;Reino Unido;Septiembre;2.773
Barcelona;Reino Unido;Octubre;2.435
Barcelona;Reino Unido;Noviembre;1.526
Barcelona;Reino Unido;Diciembre;972
Barcelona;Republica Checa;Enero;43
Barcelona;Republica Checa;Febrero;62
Barcelona;Republica Checa;Marzo;25
Barcelona;Republica Checa;Abril;123
Barcelona;Republica Checa;Mayo;232
Barcelona;Republica Checa;Junio;86
Barcelona;Republica Checa;Julio;91
Barcelona;Republica Checa;Agosto;78
Barcelona;Republica Checa;Septiembre;63
Barcelona;Republica Checa;Octubre;79
Barcelona;Republica Checa;Noviembre;70
Barcelona;Republica Checa;Diciembre;14
Barcelona;Suecia;Enero;159
Barcelona;Suecia;Febrero;246
Barcelona;Suecia;Marzo;226
Barcelona;Suecia;Abril;391
Barcelona;Suecia;Mayo;684
Barcelona;Suecia;Junio;709
Barcelona;Suecia;Julio;793
Barcelona;Suecia;Agosto;467
Barcelona;Suecia;Septiembre;523
Barcelona;Suecia;Octubre;471
Barcelona;Suecia;Noviembre;399
Barcelona;Suecia;Diciembre;272
Barcelona;Resto de la UE;Enero;305
Barcelona;Resto de la UE;Febrero;386
Barcelona;Resto de la UE;Marzo;399
Barcelona;Resto de la UE;Abril;386
Barcelona;Resto de la UE;Mayo;665
Barcelona;Resto de la UE;Junio;504
Barcelona;Resto de la UE;Julio;355
Barcelona;Resto de la UE;Agosto;327
Barcelona;Resto de la UE;Septiembre;548
Barcelona;Resto de la UE;Octubre;548
Barcelona;Resto de la UE;Noviembre;321
Barcelona;Resto de la UE;Diciembre;371
Barcelona;Noruega;Enero;48
Barcelona;Noruega;Febrero;102
Barcelona;Noruega;Marzo;300
Barcelona;Noruega;Abril;203
Barcelona;Noruega;Mayo;356
Barcelona;Noruega;Junio;436
Barcelona;Noruega;Julio;967
Barcelona;Noruega;Agosto;213
Barcelona;Noruega;Septiembre;299
Barcelona;Noruega;Octubre;495
Barcelona;Noruega;Noviembre;152
Barcelona;Noruega;Diciembre;105
Barcelona;Rusia;Enero;676
Barcelona;Rusia;Febrero;283
Barcelona;Rusia;Marzo;206
Barcelona;Rusia;Abril;302
Barcelona;Rusia;Mayo;487
Barcelona;Rusia;Junio;769
Barcelona;Rusia;Julio;693
Barcelona;Rusia;Agosto;744
Barcelona;Rusia;Septiembre;802
Barcelona;Rusia;Octubre;516
Barcelona;Rusia;Noviembre;587
Barcelona;Rusia;Diciembre;430
Barcelona;Suiza;Enero;205
Barcelona;Suiza;Febrero;412
Barcelona;Suiza;Marzo;535
Barcelona;Suiza;Abril;615
Barcelona;Suiza;Mayo;621
Barcelona;Suiza;Junio;528
Barcelona;Suiza;Julio;486
Barcelona;Suiza;Agosto;302
Barcelona;Suiza;Septiembre;422
Barcelona;Suiza;Octubre;839
Barcelona;Suiza;Noviembre;265
Barcelona;Suiza;Diciembre;176
Barcelona;Resto de Europa;Enero;375
Barcelona;Resto de Europa;Febrero;348
Barcelona;Resto de Europa;Marzo;331
Barcelona;Resto de Europa;Abril;397
Barcelona;Resto de Europa;Mayo;406
Barcelona;Resto de Europa;Junio;510
Barcelona;Resto de Europa;Julio;417
Barcelona;Resto de Europa;Agosto;437
Barcelona;Resto de Europa;Septiembre;910
Barcelona;Resto de Europa;Octubre;612
Barcelona;Resto de Europa;Noviembre;394
Barcelona;Resto de Europa;Diciembre;220
Barcelona;Estados Unidos;Enero;748
Barcelona;Estados Unidos;Febrero;507
Barcelona;Estados Unidos;Marzo;1.000
Barcelona;Estados Unidos;Abril;655
Barcelona;Estados Unidos;Mayo;1.568
Barcelona;Estados Unidos;Junio;2.918
Barcelona;Estados Unidos;Julio;1.983
Barcelona;Estados Unidos;Agosto;1.759
Barcelona;Estados Unidos;Septiembre;1.527
Barcelona;Estados Unidos;Octubre;1.544
Barcelona;Estados Unidos;Noviembre;959
Barcelona;Estados Unidos;Diciembre;1.236
Barcelona;Resto de América;Enero;1.503
Barcelona;Resto de América;Febrero;752
Barcelona;Resto de América;Marzo;974
Barcelona;Resto de América;Abril;1.045
Barcelona;Resto de América;Mayo;997
Barcelona;Resto de América;Junio;1.757
