Provincias;País de residencia;Meses;Total
07 Balears, Illes;Resto de Europa;Septiembre;1.502
07 Balears, Illes;Resto de Europa;Octubre;722
07 Balears, Illes;Resto de Europa;Noviembre;38
07 Balears, Illes;Resto de Europa;Diciembre;45
07 Balears, Illes;Estados Unidos;Enero;..
07 Balears, Illes;Estados Unidos;Febrero;..
07 Balears, Illes;Estados Unidos;Marzo;48
07 Balears, Illes;Estados Unidos;Abril;40
07 Balears, Illes;Estados Unidos;Mayo;64
07 Balears, Illes;Estados Unidos;Junio;252
07 Balears, Illes;Estados Unidos;Julio;898
07 Balears, Illes;Estados Unidos;Agosto;805
07 Balears, Illes;Estados Unidos;Septiembre;716
07 Balears, Illes;Estados Unidos;Octubre;222
07 Balears, Illes;Estados Unidos;Noviembre;139
07 Balears, Illes;Estados Unidos;Diciembre;113
07 Balears, Illes;Resto de América;Enero;18
07 Balears, Illes;Resto de América;Febrero;..
07 Balears, Illes;Resto de América;Marzo;30
07 Balears, Illes;Resto de América;Abril;..
07 Balears, Illes;Resto de América;Mayo;81
07 Balears, Illes;Resto de América;Junio;246
07 Balears, Illes;Resto de América;Julio;1.102
07 Balears, Illes;Resto de América;Agosto;1.727
07 Balears, Illes;Resto de América;Septiembre;1.561
07 Balears, Illes;Resto de América;Octubre;797
07 Balears, Illes;Resto de América;Noviembre;63
07 Balears, Illes;Resto de América;Diciembre;102
07 Balears, Illes;Países Africanos;Enero;..
07 Balears, Illes;Países Africanos;Febrero;..
07 Balears, Illes;Países Africanos;Marzo;22
07 Balears, Illes;Países Africanos;Abril;..
07 Balears, Illes;Países Africanos;Mayo;47
07 Balears, Illes;Países Africanos;Junio;67
07 Balears, Illes;Países Africanos;Julio;298
07 Balears, Illes;Países Africanos;Agosto;465
07 Balears, Illes;Países Africanos;Septiembre;257
07 Balears, Illes;Países Africanos;Octubre;149
07 Balears, Illes;Países Africanos;Noviembre;17
07 Balears, Illes;Países Africanos;Diciembre;41
07 Balears, Illes;Resto del mundo;Enero;..
07 Balears, Illes;Resto del mundo;Febrero;16
07 Balears, Illes;Resto del mundo;Marzo;50
07 Balears, Illes;Resto del mundo;Abril;42
07 Balears, Illes;Resto del mundo;Mayo;98
07 Balears, Illes;Resto del mundo;Junio;951
07 Balears, Illes;Resto del mundo;Julio;3.084
07 Balears, Illes;Resto del mundo;Agosto;1.479
07 Balears, Illes;Resto del mundo;Septiembre;984
07 Balears, Illes;Resto del mundo;Octubre;1.134
07 Balears, Illes;Resto del mundo;Noviembre;198
07 Balears, Illes;Resto del mundo;Diciembre;533
08 Barcelona;Total;Enero;2.547
08 Barcelona;Total;Febrero;3.219
08 Barcelona;Total;Marzo;4.007
08 Barcelona;Total;Abril;7.667
08 Barcelona;Total;Mayo;10.327
08 Barcelona;Total;Junio;11.316
08 Barcelona;Total;Julio;15.937
08 Barcelona;Total;Agosto;16.550
08 Barcelona;Total;Septiembre;17.576
08 Barcelona;Total;Octubre;15.850
08 Barcelona;Total;Noviembre;12.347
08 Barcelona;Total;Diciembre;12.738
08 Barcelona;Españoles;Enero;1.726
08 Barcelona;Españoles;Febrero;2.396
08 Barcelona;Españoles;Marzo;2.916
08 Barcelona;Españoles;Abril;5.848
08 Barcelona;Españoles;Mayo;6.635
08 Barcelona;Españoles;Junio;6.764
08 Barcelona;Españoles;Julio;7.926
08 Barcelona;Españoles;Agosto;7.626
08 Barcelona;Españoles;Septiembre;9.225
08 Barcelona;Españoles;Octubre;7.160
08 Barcelona;Españoles;Noviembre;5.027
08 Barcelona;Españoles;Diciembre;6.117
08 Barcelona;Extranjeros;Enero;821
08 Barcelona;Extranjeros;Febrero;823
08 Barcelona;Extranjeros;Marzo;1.091
08 Barcelona;Extranjeros;Abril;1.819
08 Barcelona;Extranjeros;Mayo;3.692
08 Barcelona;Extranjeros;Junio;4.552
08 Barcelona;Extranjeros;Julio;8.011
08 Barcelona;Extranjeros;Agosto;8.924
08 Barcelona;Extranjeros;Septiembre;8.351
08 Barcelona;Extranjeros;Octubre;8.690
08 Barcelona;Extranjeros;Noviembre;7.320
08 Barcelona;Extranjeros;Diciembre;6.621
08 Barcelona;Unión Europea27 (sin España);Enero;514
08 Barcelona;Unión Europea27 (sin España);Febrero;403
08 Barcelona;Unión Europea27 (sin España);Marzo;683
08 Barcelona;Unión Europea27 (sin España);Abril;1.148
08 Barcelona;Unión Europea27 (sin España);Mayo;2.559
08 Barcelona;Unión Europea27 (sin España);Junio;2.828
08 Barcelona;Unión Europea27 (sin España);Julio;5.661
08 Barcelona;Unión Europea27 (sin España);Agosto;6.741
08 Barcelona;Unión Europea27 (sin España);Septiembre;4.727
08 Barcelona;Unión Europea27 (sin España);Octubre;5.572
08 Barcelona;Unión Europea27 (sin España);Noviembre;4.521
08 Barcelona;Unión Europea27 (sin España);Diciembre;3.602
08 Barcelona;Alemania;Enero;50
08 Barcelona;Alemania;Febrero;16
08 Barcelona;Alemania;Marzo;74
08 Barcelona;Alemania;Abril;187
08 Barcelona;Alemania;Mayo;283
08 Barcelona;Alemania;Junio;257
08 Barcelona;Alemania;Julio;604
08 Barcelona;Alemania;Agosto;433
08 Barcelona;Alemania;Septiembre;601
08 Barcelona;Alemania;Octubre;879
08 Barcelona;Alemania;Noviembre;319
08 Barcelona;Alemania;Diciembre;256
08 Barcelona;Austria;Enero;..
08 Barcelona;Austria;Febrero;..
08 Barcelona;Austria;Marzo;..
08 Barcelona;Austria;Abril;31
08 Barcelona;Austria;Mayo;12
08 Barcelona;Austria;Junio;55
08 Barcelona;Austria;Julio;99
08 Barcelona;Austria;Agosto;159
08 Barcelona;Austria;Septiembre;33
08 Barcelona;Austria;Octubre;45
08 Barcelona;Austria;Noviembre;18
08 Barcelona;Austria;Diciembre;78
08 Barcelona;Bélgica;Enero;11
08 Barcelona;Bélgica;Febrero;..
08 Barcelona;Bélgica;Marzo;..
08 Barcelona;Bélgica;Abril;37
08 Barcelona;Bélgica;Mayo;153
08 Barcelona;Bélgica;Junio;128
08 Barcelona;Bélgica;Julio;405
08 Barcelona;Bélgica;Agosto;218
08 Barcelona;Bélgica;Septiembre;245
08 Barcelona;Bélgica;Octubre;92
08 Barcelona;Bélgica;Noviembre;207
